Latitude,Longitude,Motorista,Cidade,Nota,Contrato
-10.9112370014188,-37.0620775222768,Motorista 1,Aracaju,9,1
-9.48594331741306,-35.8575725555409,Motorista 2,Rio Largo,8,2
-23896,-53.41,Motorista 3,Perobal,7,3
-16.447874307632,-41.0098600387561,Motorista 4,Jequitinhonha,5,1
-6.57331109046917,-35.1076054573049,Motorista 5,Mataraca,8,2
-7.03715085983256,-37.2887992858876,Motorista 6,Patos,9,3
-5.99885702133161,-40.2936887741077,Motorista 7,Tauá,6,3
-24.5821130275719,-49.435493946074,Motorista 8,Doutor Ulysses,2,2
-5.89795231819136,-44.8160004615771,Motorista 9,Tuntum,8,1
-9.55789089202853,-37.3832130432118,Motorista 10,São José da Tapera,7,1
-3.09060215950003,-59.9864888191206,Motorista 11,Manaus,5,2
-15.6327939033504,-58.1737661361677,Motorista 12,São José dos Quatro Marcos,4,3
-14.5426476001735,-52.7972888946518,Motorista 13,Campinápolis,6,3
-16.0691678524013,-47.9820585250841,Motorista 14,Valparaíso de Goiás,9,2
-27.029885,-48.668039,Motorista 15,Camboriú,8,1
-29.6088624000541,-51.1745309829697,Motorista 16,Ivoti,5,1
-15453,-47614,Motorista 17,Planaltina,4,2
-22.0929586887353,-43.9471149444567,Motorista 18,Rio Preto,5,3
-12431,-38328,Motorista 19,Pojuca,9,3
-29.1107439994804,-49.6437835693345,Motorista 20,Sombrio,8,2
-9.3700182437894,-40.482494831084,Motorista 21,Petrolina,5,1
-9.34695124626132,-40.3852057456958,Motorista 22,Petrolina,6,2
-22.0368361473077,-42.9901456832873,Motorista 23,Sapucaia,8,3
-26.7414307594292,-52.9707098007187,Motorista 24,Sul Brasil,5,2
-13.6370587348934,-43.4363365173327,Motorista 25,Bom Jesus da Lapa,2,1
-3.0269479751586,-60.1796722412092,Motorista 26,Manaus,6,2
-23.86747598648,-52.8732490539535,Motorista 27,Tuneiras do Oeste,9,3
-27.90001630783,-48.9291143417344,Motorista 28,São Bonifácio,8,2
-14.3435847759243,-60.2327156066877,Motorista 29,Vila Bela da Santíssima Trindade,6,1
-10.5664980411526,-48.9105319976792,Motorista 30,Nova Rosalândia,9,2
-10.7106292247769,-62.2592854499799,Motorista 31,Ouro Preto do Oeste,8,3
-10.7499611377713,-40.3623318672168,Motorista 32,Pindobaçu,7,2
-7.85855054855324,-35.8061170577993,Motorista 33,Surubim,4,1
-5.35941839218124,-36.8054223060597,Motorista 34,Alto do Rodrigues,5,2
-20.4969155788416,-54.6768736839279,Motorista 35,Campo Grande,6,3
-29.6537303924552,-51.1117029190049,Motorista 36,Novo Hamburgo,9,3
-6.09307765960676,-38.3753085136402,Motorista 37,Doutor Severiano,8,3
-27.3173010349266,-49.6367883682237,Motorista 38,Aurora,5,2
-30.1683390140525,-53.517022132872,Motorista 39,São Sepé,6,1
-28.4566497802726,-52.1973538398728,Motorista 40,Marau,9,2
-30.1525354385367,-51.3434028625473,Motorista 41,Guaíba,8,3
-9741,-36503,Motorista 42,Limoeiro de Anadia,5,2
-2.87037134170524,-44.1055369377123,Motorista 43,Axixá,6,1
-9.83,-36738,Motorista 44,Lagoa da Canoa,6,2
-23.6209487915032,-50.1676082611069,Motorista 45,Conselheiro Mairinck,6,3
-9.00931477546666,-36.3293838500966,Motorista 46,Palmeirina,6,2
-19.790807962417,-44.0047502517687,Motorista 47,Ribeirão das Neves,8,1
-17.6418328285212,-42.6786231994616,Motorista 48,Capelinha,7,2
-30.4481470584861,-51.6436600685105,Motorista 49,Sertão Santana,5,3
-3.50030422210683,-42.1938300132739,Motorista 50,Joaquim Pires,8,1
-13.1279464111282,-39.0058787840283,Motorista 51,Jaguaripe,4,2
-19.7089362144464,-44.5583367347704,Motorista 52,São José da Varginha,5,3
-3.81399393081654,-60.3533291816694,Motorista 53,Careiro,8,1
-22764,-43399,Motorista 54,Belford Roxo,5,2
